image,filter,psnr,ssim
01052.jpg,lee,15.8772,0.2879
01052.jpg,frost,18.3232,0.3887
01052.jpg,gamma,21.4315,0.4731
01053.jpg,lee,14.7365,0.2342
01053.jpg,frost,16.6672,0.3075
01053.jpg,gamma,18.8249,0.4159
01054.jpg,lee,15.4249,0.1435
01054.jpg,frost,17.8763,0.2220
01054.jpg,gamma,21.5952,0.4193
01055.jpg,lee,15.8165,0.1196
01055.jpg,frost,18.3490,0.1832
01055.jpg,gamma,22.7332,0.3723
01056.jpg,lee,14.9816,0.1626
01056.jpg,frost,17.5131,0.2448
01056.jpg,gamma,21.2423,0.4119
01057.jpg,lee,15.5177,0.2778
01057.jpg,frost,17.4641,0.3431
01057.jpg,gamma,19.3254,0.4224
01058.jpg,lee,15.6581,0.2964
01058.jpg,frost,17.8415,0.3757
01058.jpg,gamma,20.6386,0.4417
01059.jpg,lee,16.8569,0.1794
01059.jpg,frost,19.3535,0.2576
01059.jpg,gamma,23.6005,0.4469
01060.jpg,lee,15.2346,0.2151
01060.jpg,frost,17.7555,0.2884
01060.jpg,gamma,21.5944,0.4424
01061.jpg,lee,18.0504,0.3765
01061.jpg,frost,20.3758,0.4347
01061.jpg,gamma,23.2835,0.5289
01062.jpg,lee,14.2479,0.1581
01062.jpg,frost,16.8515,0.2435
01062.jpg,gamma,20.2293,0.3808
01063.jpg,lee,15.6256,0.1683
01063.jpg,frost,18.2601,0.2562
01063.jpg,gamma,22.8164,0.4079
01064.jpg,lee,20.2892,0.3408
01064.jpg,frost,22.7920,0.4224
01064.jpg,gamma,25.9208,0.6073
01065.jpg,lee,16.1750,0.1955
01065.jpg,frost,18.6726,0.2764
01065.jpg,gamma,22.5418,0.4236
01066.jpg,lee,18.2631,0.2483
01066.jpg,frost,20.7333,0.3213
01066.jpg,gamma,24.7042,0.5441
01067.jpg,lee,16.1099,0.1015
01067.jpg,frost,18.7972,0.1669
01067.jpg,gamma,24.2748,0.4001
01068.jpg,lee,14.9886,0.3401
01068.jpg,frost,16.8702,0.4096
01068.jpg,gamma,18.4439,0.4480
01069.jpg,lee,15.2014,0.2025
01069.jpg,frost,17.7560,0.2806
01069.jpg,gamma,21.2365,0.3591
01070.jpg,lee,15.8563,0.2900
01070.jpg,frost,18.2686,0.3740
01070.jpg,gamma,21.5373,0.4321
01071.jpg,lee,15.3836,0.2122
01071.jpg,frost,17.9179,0.2862
01071.jpg,gamma,21.5746,0.3709
01072.jpg,lee,16.2139,0.1816
01072.jpg,frost,18.6404,0.2575
01072.jpg,gamma,22.4918,0.4151
01073.jpg,lee,16.3604,0.2346
01073.jpg,frost,18.8792,0.3080
01073.jpg,gamma,22.7275,0.4541
01074.jpg,lee,14.9013,0.2144
01074.jpg,frost,17.0195,0.2905
01074.jpg,gamma,19.6213,0.4382
01075.jpg,lee,15.2972,0.3256
01075.jpg,frost,17.3019,0.3949
01075.jpg,gamma,19.2176,0.4384
01076.jpg,lee,14.2284,0.1750
01076.jpg,frost,16.5218,0.2605
01076.jpg,gamma,19.2836,0.3710
01077.jpg,lee,16.9318,0.2925
01077.jpg,frost,19.1520,0.3637
01077.jpg,gamma,21.9701,0.4996
01078.jpg,lee,16.7201,0.2281
01078.jpg,frost,19.1743,0.2867
01078.jpg,gamma,22.8907,0.4595
01079.jpg,lee,16.2733,0.2593
01079.jpg,frost,18.7426,0.3504
01079.jpg,gamma,22.2050,0.4320
01080.jpg,lee,16.9702,0.1553
01080.jpg,frost,19.4122,0.2315
01080.jpg,gamma,23.6582,0.4446
01081.jpg,lee,16.1319,0.3113
01081.jpg,frost,18.0314,0.3851
01081.jpg,gamma,19.9472,0.4658
01082.jpg,lee,15.0728,0.2536
01082.jpg,frost,17.3026,0.3427
01082.jpg,gamma,19.9993,0.4260
01083.jpg,lee,15.9237,0.2158
01083.jpg,frost,18.4869,0.3045
01083.jpg,gamma,22.2236,0.3959
01084.jpg,lee,13.5899,0.1008
01084.jpg,frost,16.0543,0.1663
01084.jpg,gamma,18.7298,0.2750
01085.jpg,lee,16.6206,0.3512
01085.jpg,frost,18.9207,0.3708
01085.jpg,gamma,22.1390,0.5357
01086.jpg,lee,14.1687,0.1879
01086.jpg,frost,16.1039,0.2665
01086.jpg,gamma,18.3924,0.3961
01087.jpg,lee,16.2314,0.1986
01087.jpg,frost,18.7359,0.2894
01087.jpg,gamma,22.5699,0.4587
01088.jpg,lee,16.7008,0.2173
01088.jpg,frost,19.2199,0.3050
01088.jpg,gamma,23.3351,0.4419
01089.jpg,lee,19.6186,0.4220
01089.jpg,frost,22.1592,0.4973
01089.jpg,gamma,25.6236,0.6314
01090.jpg,lee,13.9102,0.0406
01090.jpg,frost,16.6827,0.0857
01090.jpg,gamma,20.7044,0.2573
01091.jpg,lee,17.0442,0.1950
01091.jpg,frost,19.6312,0.2775
01091.jpg,gamma,23.9862,0.4883
01092.jpg,lee,13.2058,0.2091
01092.jpg,frost,15.0135,0.2904
01092.jpg,gamma,16.5867,0.3518
01093.jpg,lee,15.3753,0.2358
01093.jpg,frost,17.8635,0.3230
01093.jpg,gamma,21.2202,0.4278
01094.jpg,lee,17.5319,0.2980
01094.jpg,frost,19.9444,0.3802
01094.jpg,gamma,22.9920,0.5049
01095.jpg,lee,16.9169,0.1365
01095.jpg,frost,19.6293,0.2230
01095.jpg,gamma,24.8853,0.4283
01096.jpg,lee,16.8309,0.2041
01096.jpg,frost,19.3981,0.2770
01096.jpg,gamma,23.5982,0.4797
01097.jpg,lee,17.0051,0.3188
01097.jpg,frost,19.2876,0.3837
01097.jpg,gamma,22.1525,0.5156
01098.jpg,lee,14.2725,0.0720
01098.jpg,frost,17.0336,0.1323
01098.jpg,gamma,21.1398,0.3067
